12:01:59.423149 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.68 is-at 00:24:f9:ff:38:c0, length 28
12:01:59.423487 70:71:bc:f2:b5:cc > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.19.255 tell 172.27.15.17, length 46
12:01:59.423581 00:0c:29:20:7d:ea > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.22.14 tell 172.27.22.166, length 46
12:01:59.632525 e4:11:5b:e5:55:f9 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.18.21 tell 172.27.16.1, length 46
12:01:59.632628 d8:24:bd:91:5d:40 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.22.195 tell 172.27.16.254, length 46
12:01:59.633331 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at 08:d0:9f:4b:41:c0, length 28
12:01:59.736438 00:a0:98:a4:29:e0 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.19.255 tell 172.27.22.60, length 46
12:01:59.736522 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at ec:e1:a9:af:28:c0, length 28
12:01:59.840857 b8:ae:ed:7f:45:9d > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.20.171.254 tell 169.254.67.74, length 46
12:01:59.945312 04:54:53:0f:ca:a0 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.7 tell 172.27.28.155, length 46
12:01:59.945713 00:21:5c:1f:5d:a1 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.254 tell 172.27.17.233, length 46
12:01:59.945851 00:a0:98:a4:29:e0 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.31.255 tell 172.27.22.60, length 46
12:02:00.154257 00:0c:29:20:7d:ea > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.22.14 tell 172.27.22.166, length 46
12:02:00.258967 00:21:5c:1f:5d:a1 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.254 tell 172.27.17.233, length 46
12:02:00.363376 00:21:5c:1f:5d:a1 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.7 tell 172.27.17.233, length 46
12:02:00.363472 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.68 is-at 0c:85:25:cb:75:c0, length 28
12:02:00.467687 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 151.10.98.98 (ff:ff:ff:ff:ff:ff) tell 151.10.98.98, length 28
12:02:00.467934 54:a0:50:87:ee:fc > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.17.239 tell 172.27.17.125, length 46
12:02:00.468034 c0:3f:d5:6b:c9:a8 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.17.125 tell 172.27.17.239, length 46
12:02:00.572279 78:02:f8:90:d9:b3 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.1 tell 172.27.27.209, length 46
12:02:00.677536 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at 08:d0:9f:4b:41:c0, length 28
12:02:00.677672 00:a0:98:a4:29:e0 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.19.255 tell 172.27.22.60, length 46
12:02:00.677761 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at ec:e1:a9:af:28:c0, length 28
12:02:00.677861 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at 08:d0:9f:4b:41:c0, length 28
12:02:00.677955 3c:ef:8c:68:04:f9 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Reply 172.27.14.56 is-at 3c:ef:8c:68:04:f9, length 46
12:02:00.781036 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at ec:e1:a9:af:28:c0, length 28
